"id2","variable","value","p"
304001,"X67_to_69_years",29,2.6196928635953
304001,"X70_to_74_years",42,3.7940379403794
304001,"X75_to_79_years",29,2.6196928635953
304001,"X80_to_84_years",29,2.6196928635953
304001,"X85_years_and_over",19,1.7163504968383
304002,"Xunder_5_years",77,4.78558110627719
304002,"X5_to_9_years",131,8.14170292106899
304002,"X10_to_14_years",181,11.2492231199503
304002,"X15_to_17_years",103,6.40149160969546
304002,"X18_to_21_years",55,3.41827221876942
304002,"X22_to_24_years",29,1.80236171535115
304002,"X25_to_29_years",29,1.80236171535115
304002,"X30_to_34_years",24,1.49160969546302
304002,"X35_to_39_years",81,5.03418272218769
304002,"X40_to_44_years",107,6.65009322560597
304002,"X45_to_49_years",170,10.5655686761964
304002,"X50_to_54_years",159,9.88191423244251
304002,"X55_to_59_years",144,8.94965817277812
304002,"X60_and_61_years",34,2.11311373523928
304002,"X62_to_64_years",64,3.97762585456805
304002,"X65_and_66_years",32,1.98881292728403
304002,"X67_to_69_years",40,2.48601615910503
304002,"X70_to_74_years",43,2.67246737103791
304002,"X75_to_79_years",45,2.79676817899316
304002,"X80_to_84_years",27,1.6780609073959
304002,"X85_years_and_over",34,2.11311373523928
304003,"Xunder_5_years",49,4.01310401310401
304003,"X5_to_9_years",111,9.09090909090909
304003,"X10_to_14_years",136,11.1384111384111
304003,"X15_to_17_years",80,6.55200655200655
304003,"X18_to_21_years",32,2.62080262080262
304003,"X22_to_24_years",21,1.71990171990172
304003,"X25_to_29_years",27,2.21130221130221
304003,"X30_to_34_years",14,1.14660114660115
304003,"X35_to_39_years",66,5.40540540540541
304003,"X40_to_44_years",99,8.10810810810811
304003,"X45_to_49_years",110,9.00900900900901
304003,"X50_to_54_years",129,10.5651105651106
304003,"X55_to_59_years",93,7.61670761670762
304003,"X60_and_61_years",34,2.78460278460278
304003,"X62_to_64_years",44,3.6036036036036
304003,"X65_and_66_years",21,1.71990171990172
304003,"X67_to_69_years",29,2.37510237510237
304003,"X70_to_74_years",42,3.43980343980344
304003,"X75_to_79_years",36,2.94840294840295
304003,"X80_to_84_years",28,2.29320229320229
304003,"X85_years_and_over",20,1.63800163800164
305001,"Xunder_5_years",58,6.82352941176471
305001,"X5_to_9_years",55,6.47058823529412
305001,"X10_to_14_years",50,5.88235294117647
305001,"X15_to_17_years",33,3.88235294117647
305001,"X18_to_21_years",42,4.94117647058824
305001,"X22_to_24_years",56,6.58823529411765
305001,"X25_to_29_years",88,10.3529411764706
305001,"X30_to_34_years",66,7.76470588235294
305001,"X35_to_39_years",54,6.35294117647059
305001,"X40_to_44_years",59,6.94117647058824
305001,"X45_to_49_years",65,7.64705882352941
305001,"X50_to_54_years",54,6.35294117647059
305001,"X55_to_59_years",58,6.82352941176471
305001,"X60_and_61_years",14,1.64705882352941
305001,"X62_to_64_years",21,2.47058823529412
305001,"X65_and_66_years",14,1.64705882352941
305001,"X67_to_69_years",21,2.47058823529412
305001,"X70_to_74_years",13,1.52941176470588
305001,"X75_to_79_years",9,1.05882352941176
305001,"X80_to_84_years",15,1.76470588235294
305001,"X85_years_and_over",5,0.588235294117647
305002,"Xunder_5_years",79,6.90559440559441
305002,"X5_to_9_years",63,5.50699300699301
305002,"X10_to_14_years",68,5.94405594405594
305002,"X15_to_17_years",45,3.93356643356643
305002,"X18_to_21_years",47,4.10839160839161
305002,"X22_to_24_years",52,4.54545454545455
305002,"X25_to_29_years",111,9.7027972027972
305002,"X30_to_34_years",96,8.39160839160839
305002,"X35_to_39_years",62,5.41958041958042
305002,"X40_to_44_years",77,6.73076923076923
305002,"X45_to_49_years",110,9.61538461538461
305002,"X50_to_54_years",100,8.74125874125874
305002,"X55_to_59_years",60,5.24475524475525
305002,"X60_and_61_years",29,2.53496503496504
305002,"X62_to_64_years",37,3.23426573426573
305002,"X65_and_66_years",18,1.57342657342657
305002,"X67_to_69_years",18,1.57342657342657
305002,"X70_to_74_years",19,1.66083916083916
