HOME,BMI_M,CAR_AGE,MILE_M,NOBS,BLUE,WHITE,PINK,GOVT,P_TDI,P_UI,AVG_MATH,AVG_VERBAL,SAT_TAKE,NOBS_SAT_TAKE,AVG_AP,AP_TAKE,NOBS_AP_TAKE,N_PRISONERS,av_above0_math,av_above0_read,av_va_math_elem,av_va_math_middle,av_va_read_elem,av_va_read_middle,va_read,va_math,population,over_18,PROPORTION_PRISONERS,bg_id
148001.0,26.26,9.1,30744.0,8869.0,36.24,42.59,16.93,4.23,1.08,1.54,454.57,496.57,21.88,64.0,,0.0,64.0,76.0,0.4883721,0.6603774,-0.0026502,-0.0576102,0.0561546,-0.0073148,66.0,49.0,2072,1653.0,4.6,0148001
148002.0,25.99,8.49,27812.0,8062.0,33.66,46.89,13.33,6.12,1.05,1.27,446.67,469.63,29.79,47.0,,10.64,47.0,36.0,0.483871,0.6216216,0.01618,-0.0763564,0.0495586,-0.0164626,62.0,48.0,1993,1647.0,2.19,0148002
148003.0,25.81,7.96,23275.0,6079.0,32.51,45.25,16.91,5.33,0.63,1.04,502.22,497.22,36.96,46.0,,17.39,46.0,31.0,0.4285714,0.6666667,-0.0116472,-0.0698671,0.0499571,-0.0177312,67.0,43.0,1526,1238.0,2.5,0148003
150001.0,26.2,9.83,47394.0,7604.0,36.52,46.98,14.79,1.71,0.99,1.16,433.06,418.06,27.42,62.0,1.92,17.74,62.0,164.0,0.8076923,0.6410257,0.0940646,0.1574963,-0.0025683,-0.0202859,64.0,81.0,2051,1509.0,10.87,0150001
150002.0,26.22,9.75,49555.0,8900.0,36.83,46.26,14.8,2.11,1.24,1.73,431.67,434.44,24.07,54.0,1.78,16.67,54.0,171.0,0.72,0.5,0.0867744,0.1412265,-0.0322682,-0.0105369,50.0,72.0,2419,1812.0,9.44,0150002
151001.0,26.33,10.63,62882.0,4965.0,33.68,46.62,19.26,0.44,1.03,1.49,407.24,376.9,10.94,62.0,,1.56,62.0,167.0,0.7575758,0.5813953,0.065142,0.0567249,-0.0010362,-0.0357637,58.0,76.0,1905,1333.0,12.53,0151001
151002.0,26.28,10.22,77720.0,4561.0,39.53,47.13,12.56,0.78,1.12,1.97,417.86,421.79,20.0,49.0,,6.0,49.0,196.0,0.7,0.5172414,,0.0810262,0.0011503,-0.0265116,52.0,70.0,1499,1063.0,18.44,0151002
151003.0,26.5,9.95,73245.0,3105.0,38.79,45.33,14.25,1.64,1.32,1.77,434.21,383.68,29.41,34.0,,5.88,34.0,125.0,0.8461539,0.4761905,,0.0821514,-0.0328044,-0.0282407,48.0,85.0,1068,811.0,15.41,0151003
152001.0,26.47,10.59,69621.0,3779.0,30.73,50.47,17.88,0.93,0.69,1.64,362.5,388.12,16.67,41.0,,11.9,41.0,361.0,0.8636364,0.53125,,0.0963071,-0.0122001,-0.0342139,53.0,86.0,1638,1352.0,26.7,0152001
152002.0,26.83,10.88,34573.0,1440.0,30.19,49.53,16.04,4.25,,1.88,,,,,,,,116.0,,0.5384616,,,,,54.0,,783,700.0,16.57,0152002
153001.0,26.58,9.73,55074.0,3529.0,35.73,45.79,16.63,1.85,1.16,1.25,440.0,474.12,30.3,33.0,,18.18,33.0,130.0,0.625,0.5,,-0.0629463,-0.0704213,-0.229788,50.0,62.0,1331,962.0,13.51,0153001
153002.0,26.5,9.65,66284.0,2887.0,32.13,49.87,16.2,1.8,1.14,1.8,,,10.53,19.0,,15.79,19.0,108.0,0.8333333,0.4871795,,0.0362895,-0.0484794,-0.1492391,49.0,83.0,1024,758.0,14.25,0153002
154001.0,26.2,9.83,74288.0,2431.0,33.91,48.28,16.95,0.86,0.95,1.77,435.0,414.17,31.25,16.0,,18.75,16.0,80.0,,0.3636364,,0.0851037,-0.0936638,-0.141695,36.0,,810,613.0,13.05,0154001
154002.0,26.21,10.34,70583.0,4460.0,34.5,46.17,18.69,0.64,0.87,1.66,390.4,390.8,40.0,35.0,,11.43,35.0,160.0,0.6666667,0.4,,-0.0700619,-0.0553096,-0.2522269,40.0,67.0,1448,1014.0,15.78,0154002
155001.0,26.31,9.59,36136.0,2898.0,39.03,44.73,12.54,3.7,0.9,1.35,493.08,479.23,30.0,20.0,,20.0,20.0,45.0,0.6923077,0.125,,0.0262192,-0.1234663,-0.1062849,12.0,69.0,953,757.0,5.94,0155001
155002.0,26.2,9.35,33881.0,3176.0,34.46,46.51,15.66,3.37,0.91,1.51,425.29,421.76,40.0,20.0,,30.0,20.0,50.0,0.5714286,0.4,,0.0458614,-0.0824155,-0.0964854,40.0,57.0,901,702.0,7.12,0155002
155003.0,26.18,9.95,54704.0,4423.0,34.3,45.25,18.36,2.09,0.75,1.58,437.08,411.25,32.26,31.0,,19.35,31.0,80.0,0.5909091,0.2777778,,0.0060381,-0.0674174,-0.1627498,28.0,59.0,1353,1002.0,7.98,0155003
